Municipality,Average heatwaves duration
ABINGTON,1.7793915
ACTON,1.5544246
ACUSHNET,1.5030556
ADAMS,0.52916664
AGAWAM,1.4801667
ALFORD,1.96
AMESBURY,1.6407223
AMHERST,1.7170198
ANDOVER,1.8976455
ARLINGTON,1.7118386
ASHBURNHAM,1.7288889
ASHBY,1.8924206
ASHFIELD,0.96944445
ASHLAND,1.605
ATHOL,1.6197778
ATTLEBORO,1.6972222
AUBURN,1.8927778
AVON,1.7185714
AYER,1.5672619
BARNSTABLE,0.86944443
BARRE,1.7558334
BECKET,0.76666665
BEDFORD,1.6270536
BELCHERTOWN,1.8249305
BELLINGHAM,1.7022302
BELMONT,1.7118386
BERKLEY,1.7123611
BERLIN,2.091875
BERNARDSTON,1.9284723
BEVERLY,1.806582
BILLERICA,1.4753175
BLACKSTONE,1.7752777
BLANDFORD,1.4488889
BOLTON,2.0095556
BOSTON,1.6435913
BOURNE,1.1211112
BOXBOROUGH,1.7545873
BOXFORD,1.6371746
BOYLSTON,2.2397223
BRAINTREE,1.7143387
BREWSTER,0.3148148
BRIDGEWATER,1.7337037
BRIMFIELD,1.8692104
BROCKTON,1.7364286
BROOKFIELD,1.9240416
BROOKLINE,1.719008
BUCKLAND,1.5865278
BURLINGTON,1.6051667
CAMBRIDGE,1.7118386
CANTON,1.7053869
CARLISLE,1.5444379
CARVER,1.5923611
CHARLEMONT,1.5738889
CHARLTON,1.7780555
CHATHAM,0.14
CHELMSFORD,1.2806349
CHELSEA,1.7354761
CHESHIRE,0.42916667
CHESTER,1.5772963
CHESTERFIELD,0.9712963
CHICOPEE,1.2756958
CHILMARK,0.67
CLARKSBURG,1.0083333
CLINTON,2.2638888
COHASSET,1.6511428
COLRAIN,1.6194445
CONCORD,1.5304593
CONWAY,1.8111111
CUMMINGTON,0.8361111
DALTON,0.67777777
DANVERS,2.0565398
DARTMOUTH,1.3813889
DEDHAM,1.5955158
DEERFIELD,1.7215912
DENNIS,0.43055555
DIGHTON,1.6863889
DOUGLAS,1.9131482
DOVER,1.9008334
DRACUT,1.4023412
DUDLEY,1.8859028
DUNSTABLE,1.409213
DUXBURY,1.7029924
EAST BRIDGEWATER,1.7739913
EAST BROOKFIELD,1.8755158
EAST LONGMEADOW,1.5224445
EASTHAM,0.36481482
EASTHAMPTON,1.771656
EASTON,1.6229008
EDGARTOWN,0.52555555
EGREMONT,1.932543
ERVING,1.7444445
ESSEX,1.8904444
EVERETT,1.7266369
FAIRHAVEN,1.3676667
FALL RIVER,1.4806944
FALMOUTH,0.93333334
FITCHBURG,1.8371131
FLORIDA,0.40833333
FOXBOROUGH,1.5021297
FRAMINGHAM,1.6821964
FRANKLIN,1.6393651
FREETOWN,1.596111
GARDNER,1.9441864
AQUINNAH,0.80333334
GEORGETOWN,1.5578036
GILL,1.795
GLOUCESTER,1.7802777
GOSHEN,1.0590278
GOSNOLD,0.8988889
GRAFTON,2.0426388
GRANBY,1.648889
GRANVILLE,1.6261111
GREAT BARRINGTON,2.0516667
GREENFIELD,1.5717698
GROTON,1.5609286
GROVELAND,1.5413029
HADLEY,1.628082
HALIFAX,1.7272183
HAMILTON,1.806582
HAMPDEN,1.9076587
HANCOCK,0.81666666
HANOVER,1.7220039
HANSON,1.7409524
HARDWICK,1.9146825
HARVARD,1.8373611
HARWICH,0.2361111
HATFIELD,1.7913353
HAVERHILL,1.6075583
HAWLEY,1.1430556
HEATH,1.2425926
HINGHAM,1.5942156
HINSDALE,0.59444445
HOLBROOK,1.7185714
HOLDEN,1.9397222
HOLLAND,1.7694445
HOLLISTON,1.6941204
HOLYOKE,1.736
HOPEDALE,1.8496112
HOPKINTON,1.8866667
HUBBARDSTON,1.7002778
HUDSON,1.8233612
HULL,1.7198215
HUNTINGTON,1.4799074
IPSWICH,1.8105714
KINGSTON,1.6243334
LAKEVILLE,1.6044445
LANCASTER,2.1148255
LANESBOROUGH,0.7708333
LAWRENCE,2.0417619
LEE,1.5388889
LEICESTER,1.6340277
LENOX,1.453125
LEOMINSTER,1.8720695
LEVERETT,1.6988889
LEXINGTON,1.7047857
LEYDEN,1.8570833
LINCOLN,1.5497917
LITTLETON,1.5520793
LONGMEADOW,1.4839947
LOWELL,1.214041
LUDLOW,1.77275
LUNENBURG,1.7524444
LYNN,1.7730953
LYNNFIELD,1.8700794
MALDEN,1.7266369
MANCHESTER,1.7561111
MANSFIELD,1.5998148
MARBLEHEAD,1.6477778
MARION,1.4097222
MARLBOROUGH,1.9175932
MARSHFIELD,1.6853015
MASHPEE,0.925
MATTAPOISETT,1.3801389
MAYNARD,1.6213889
MEDFIELD,1.8038889
MEDFORD,1.7010318
MEDWAY,1.6946594
MELROSE,1.7266369
MENDON,1.8496112
MERRIMAC,1.5917791
METHUEN,1.8063174
MIDDLEBOROUGH,1.5427142
MIDDLEFIELD,0.8902778
MIDDLETON,2.0878043
MILFORD,1.8731018
MILLBURY,1.9930556
MILLIS,1.8063889
MILLVILLE,1.7752777
MILTON,1.791541
MONROE,0.74583334
MONSON,1.8583796
MONTAGUE,1.6734524
MONTEREY,1.2777778
MONTGOMERY,1.7968519
MOUNT WASHINGTON,1.0355556
NAHANT,1.694861
NANTUCKET,0.21111111
NATICK,1.5896369
NEEDHAM,1.7596706
NEW ASHFORD,0.33222222
NEW BEDFORD,1.4276851
NEW BRAINTREE,1.6583333
NEW MARLBOROUGH,1.8935186
NEW SALEM,1.8575
NEWBURY,1.6766707
NEWBURYPORT,1.6446747
NEWTON,1.7517142
NORFOLK,1.8266667
NORTH ADAMS,0.81666666
NORTH ANDOVER,1.7411481
NORTH ATTLEBOROUGH,1.7072222
NORTH BROOKFIELD,1.764623
NORTH READING,1.7848294
NORTHAMPTON,1.7599306
NORTHBOROUGH,2.2127619
NORTHBRIDGE,1.9606944
NORTHFIELD,1.888502
NORTON,1.4674405
NORWELL,1.7220039
NORWOOD,1.8179828
OAK BLUFFS,0.5511111
OAKHAM,1.6405555
ORANGE,1.6746666
ORLEANS,0.25
OTIS,0.8833333
OXFORD,1.9322778
PALMER,1.8188889
PAXTON,1.6986111
PEABODY,1.8487037
PELHAM,1.7007407
PEMBROKE,1.6631482
PEPPERELL,1.5827315
PERU,0.34166667
PETERSHAM,1.9342129
PHILLIPSTON,1.9722222
PITTSFIELD,1.3055556
PLAINFIELD,0.6666667
PLAINVILLE,1.6010185
PLYMOUTH,1.4994445
PLYMPTON,1.6503439
PRINCETON,1.7211574
PROVINCETOWN,1.288
QUINCY,1.9873413
RANDOLPH,1.7185714
RAYNHAM,1.8736905
READING,1.6273135
REHOBOTH,1.6813889
REVERE,1.7266369
RICHMOND,1.1888889
ROCHESTER,1.5333333
ROCKLAND,1.7506944
ROCKPORT,1.6689445
ROWE,0.8958333
ROWLEY,1.6803174
ROYALSTON,1.8274366
RUSSELL,2.0318253
RUTLAND,1.5820833
SALEM,1.7361945
SALISBURY,1.725455
SANDISFIELD,1.0638889
SANDWICH,0.91351855
SAUGUS,1.7266369
SAVOY,0.43888888
SCITUATE,1.6507143
SEEKONK,1.6208333
SHARON,1.7742064
SHEFFIELD,2.138
SHELBURNE,1.7147223
SHERBORN,1.7629035
SHIRLEY,1.6557579
SHREWSBURY,2.1924446
SHUTESBURY,1.6777778
SOMERSET,1.507037
SOMERVILLE,1.7118386
SOUTH HADLEY,1.5778452
SOUTHAMPTON,1.8098888
SOUTHBOROUGH,1.8240529
SOUTHBRIDGE,1.9683334
SOUTHWICK,1.7487566
SPENCER,1.7583333
SPRINGFIELD,1.4642977
STERLING,2.0519445
STOCKBRIDGE,1.7284722
STONEHAM,1.6965873
STOUGHTON,1.7172024
STOW,1.7974206
STURBRIDGE,1.82625
SUDBURY,1.6212335
SUNDERLAND,1.7656945
SUTTON,1.9544444
SWAMPSCOTT,1.6821759
SWANSEA,1.6883334
TAUNTON,1.6864722
TEMPLETON,1.9710913
TEWKSBURY,1.6482804
TISBURY,0.67777777
TOLLAND,1.1833333
TOPSFIELD,1.6095912
TOWNSEND,1.6134325
TRURO,0.8895556
TYNGSBOROUGH,1.2547817
TYRINGHAM,1.1666666
UPTON,1.9683334
UXBRIDGE,1.779127
WAKEFIELD,1.6965873
WALES,1.5355556
WALPOLE,1.7989914
WALTHAM,1.7420039
WARE,1.7369444
WAREHAM,1.0494444
WARREN,1.910127
WARWICK,1.9291667
WASHINGTON,0.51111114
WATERTOWN,1.7118386
WAYLAND,1.7538096
WEBSTER,1.9482408
WELLESLEY,1.6394683
WELLFLEET,0.4677778
WENDELL,1.7288393
WENHAM,1.8194947
WEST BOYLSTON,2.1574602
WEST BRIDGEWATER,1.774127
WEST BROOKFIELD,1.8774108
WEST NEWBURY,1.6037381
WEST SPRINGFIELD,1.4092265
WEST STOCKBRIDGE,1.6666666
WEST TISBURY,0.55333334
WESTBOROUGH,1.9844881
WESTFIELD,1.7753532
WESTFORD,1.427133
WESTHAMPTON,1.4921297
WESTMINSTER,1.7626389
WESTON,1.7114762
WESTPORT,1.4633611
WESTWOOD,1.8465741
WEYMOUTH,1.596951
WHATELY,1.7426587
WHITMAN,1.7621032
WILBRAHAM,1.6753889
WILLIAMSBURG,1.9235185
WILLIAMSTOWN,0.89166665
WILMINGTON,1.6771865
WINCHENDON,2.003512
WINCHESTER,1.6965873
WINDSOR,0.24166666
WINTHROP,1.6993849
WOBURN,1.5855556
WORCESTER,2.0280557
WORTHINGTON,1.1685185
WRENTHAM,1.667662
YARMOUTH,0.69685185
