Municipality,Number of days above 95°F
ABINGTON,3.4472222
ACTON,5.0666666
ACUSHNET,1.4166666
ADAMS,0.18
AGAWAM,4.0
ALFORD,1.0083333
AMESBURY,3.6847222
AMHERST,2.9930556
ANDOVER,3.2
ARLINGTON,3.7583334
ASHBURNHAM,1.0638889
ASHBY,1.4416667
ASHFIELD,0.38333333
ASHLAND,4.6
ATHOL,2.838889
ATTLEBORO,2.3444445
AUBURN,1.9833333
AVON,3.5583334
AYER,3.6166666
BARNSTABLE,0.37407407
BARRE,0.87777776
BECKET,0.17777778
BEDFORD,4.3333335
BELCHERTOWN,2.2777777
BELLINGHAM,3.2902777
BELMONT,3.7583334
BERKLEY,2.25
BERLIN,2.4166667
BERNARDSTON,1.6694444
BEVERLY,2.6
BILLERICA,3.4166667
BLACKSTONE,3.1666667
BLANDFORD,0.62222224
BOLTON,3.5833333
BOSTON,3.925
BOURNE,0.6
BOXBOROUGH,4.673333
BOXFORD,3.1916666
BOYLSTON,1.6666666
BRAINTREE,3.6166666
BREWSTER,0.17407407
BRIDGEWATER,2.9055555
BRIMFIELD,1.275
BROCKTON,3.5194445
BROOKFIELD,1.4166666
BROOKLINE,3.925
BUCKLAND,0.96666664
BURLINGTON,3.3
CAMBRIDGE,3.7583334
CANTON,3.5652778
CARLISLE,4.241667
CARVER,1.3555555
CHARLEMONT,0.6666667
CHARLTON,1.1916667
CHATHAM,0.06851852
CHELMSFORD,3.9333334
CHELSEA,3.475
CHESHIRE,0.14666666
CHESTER,1.05
CHESTERFIELD,0.60555553
CHICOPEE,3.7777777
CHILMARK,0.2
CLARKSBURG,0.35416666
CLINTON,1.9444444
COHASSET,3.5166667
COLRAIN,1.0361111
CONCORD,5.633333
CONWAY,1.2166667
CUMMINGTON,0.31944445
DALTON,0.21666667
DANVERS,2.9
DARTMOUTH,1.2361112
DEDHAM,3.8666666
DEERFIELD,3.0722222
DENNIS,0.21851853
DIGHTON,2.3722222
DOUGLAS,1.3833333
DOVER,3.1277778
DRACUT,3.7222223
DUDLEY,1.8333334
DUNSTABLE,3.2291667
DUXBURY,2.7833333
EAST BRIDGEWATER,3.6694446
EAST BROOKFIELD,1.1666666
EAST LONGMEADOW,2.9555554
EASTHAM,0.2074074
EASTHAMPTON,2.6777778
EASTON,2.588889
EDGARTOWN,0.26666668
EGREMONT,1.2666667
ERVING,2.7944446
ESSEX,2.3305554
EVERETT,3.475
FAIRHAVEN,1.2444445
FALL RIVER,1.7944444
FALMOUTH,0.3037037
FITCHBURG,2.1347222
FLORIDA,0.13333334
FOXBOROUGH,2.6777778
FRAMINGHAM,5.0916667
FRANKLIN,3.413889
FREETOWN,1.7533333
GARDNER,1.3083333
AQUINNAH,0.27592593
GEORGETOWN,3.7166667
GILL,3.6388888
GLOUCESTER,1.8138889
GOSHEN,0.49444443
GOSNOLD,0.34444445
GRAFTON,2.3305554
GRANBY,2.6666667
GRANVILLE,0.85555553
GREAT BARRINGTON,1.2166667
GREENFIELD,4.1055555
GROTON,3.463889
GROVELAND,3.9083333
HADLEY,3.3277779
HALIFAX,2.7222223
HAMILTON,2.5777779
HAMPDEN,1.9944445
HANCOCK,0.18
HANOVER,3.3222222
HANSON,2.925
HARDWICK,1.1166667
HARVARD,3.4
HARWICH,0.10925926
HATFIELD,2.8180556
HAVERHILL,4.0333333
HAWLEY,0.39166668
HEATH,0.5
HINGHAM,3.45
HINSDALE,0.1575
HOLBROOK,3.5194445
HOLDEN,1.0888889
HOLLAND,1.1111112
HOLLISTON,4.25
HOLYOKE,2.4
HOPEDALE,3.35
HOPKINTON,3.411111
HUBBARDSTON,0.81666666
HUDSON,4.233333
HULL,3.6083333
HUNTINGTON,1.0388889
IPSWICH,2.5777779
KINGSTON,2.675
LAKEVILLE,1.98
LANCASTER,3.1083333
LANESBOROUGH,0.23666666
LAWRENCE,3.5066667
LEE,0.41666666
LEICESTER,1.0805556
LENOX,0.49166667
LEOMINSTER,2.825
LEVERETT,1.4611111
LEXINGTON,3.675
LEYDEN,2.1555555
LINCOLN,5.6833334
LITTLETON,4.2541666
LONGMEADOW,4.4666667
LOWELL,4.116667
LUDLOW,2.5555556
LUNENBURG,2.8666666
LYNN,3.2166667
LYNNFIELD,3.0833333
MALDEN,3.475
MANCHESTER,2.088889
MANSFIELD,2.375
MARBLEHEAD,2.6
MARION,0.87777776
MARLBOROUGH,3.7833333
MARSHFIELD,3.0666666
MASHPEE,0.31111112
MATTAPOISETT,0.8472222
MAYNARD,6.983333
MEDFIELD,3.288889
MEDFORD,3.7583334
MEDWAY,4.3472223
MELROSE,3.261111
MENDON,3.35
MERRIMAC,3.5666666
METHUEN,3.4166667
MIDDLEBOROUGH,1.9333333
MIDDLEFIELD,0.37222221
MIDDLETON,3.0583334
MILFORD,3.5333333
MILLBURY,1.8444444
MILLIS,3.588889
MILLVILLE,2.7666667
MILTON,3.8333333
MONROE,0.28333333
MONSON,1.5111111
MONTAGUE,2.8277779
MONTEREY,0.31111112
MONTGOMERY,1.3555555
MOUNT WASHINGTON,0.25555557
NAHANT,3.4166667
NANTUCKET,0.06666667
NATICK,4.3166666
NEEDHAM,3.825
NEW ASHFORD,0.08
NEW BEDFORD,1.1847222
NEW BRAINTREE,0.76666665
NEW MARLBOROUGH,0.75555557
NEW SALEM,1.8222222
NEWBURY,3.5805554
NEWBURYPORT,3.6527777
NEWTON,3.85
NORFOLK,3.161111
NORTH ADAMS,0.3
NORTH ANDOVER,3.011111
NORTH ATTLEBOROUGH,2.5777779
