Municipality,Total precipitation
ABINGTON,3.2851942
ACTON,3.7116103
ACUSHNET,4.0233955
ADAMS,5.748294
AGAWAM,5.2008457
ALFORD,6.6006
AMESBURY,4.8246603
AMHERST,5.4316354
ANDOVER,3.4704168
ARLINGTON,3.5363626
ASHBURNHAM,3.934082
ASHBY,3.9649072
ASHFIELD,7.054583
ASHLAND,4.086355
ATHOL,5.67146
ATTLEBORO,4.505863
AUBURN,4.073428
AVON,3.2671726
AYER,4.9377418
BARNSTABLE,3.2714207
BARRE,4.406755
BECKET,6.66047
BEDFORD,3.1205373
BELCHERTOWN,4.4187665
BELLINGHAM,4.8224792
BELMONT,3.5363626
BERKLEY,4.597359
BERLIN,3.4027414
BERNARDSTON,5.848715
BEVERLY,4.0620832
BILLERICA,2.6649883
BLACKSTONE,4.9383864
BLANDFORD,6.5315504
BOLTON,3.9249299
BOSTON,3.6688912
BOURNE,3.849563
BOXBOROUGH,4.166885
BOXFORD,3.5393953
BOYLSTON,4.154647
BRAINTREE,3.5815296
BREWSTER,2.9808884
BRIDGEWATER,3.9412134
BRIMFIELD,4.6034403
BROCKTON,3.318602
BROOKFIELD,4.551523
BROOKLINE,3.6688912
BUCKLAND,7.000669
BURLINGTON,2.504832
CAMBRIDGE,3.6403713
CANTON,3.1160529
CARLISLE,2.5647967
CARVER,4.001099
CHARLEMONT,6.6989403
CHARLTON,3.9454882
CHATHAM,2.4553242
CHELMSFORD,3.3341599
CHELSEA,3.2289476
CHESHIRE,5.4925613
CHESTER,7.029909
CHESTERFIELD,6.8890176
CHICOPEE,5.038314
CHILMARK,2.7617908
CLARKSBURG,5.6646876
CLINTON,3.1677063
COHASSET,4.5215554
COLRAIN,6.354179
CONCORD,3.1930094
CONWAY,6.953017
CUMMINGTON,6.784597
DALTON,6.030047
DANVERS,3.921668
DARTMOUTH,3.9311883
DEDHAM,2.9185636
DEERFIELD,6.3147187
DENNIS,3.2854767
DIGHTON,4.776031
DOUGLAS,4.3883123
DOVER,3.5346377
DRACUT,3.9219542
DUDLEY,4.4528885
DUNSTABLE,5.155337
DUXBURY,3.35959
EAST BRIDGEWATER,3.2243595
EAST BROOKFIELD,3.8007994
EAST LONGMEADOW,4.202656
EASTHAM,3.0401099
EASTHAMPTON,5.9540358
EASTON,4.2051916
EDGARTOWN,2.4022593
EGREMONT,6.586869
ERVING,5.5177956
ESSEX,3.229889
EVERETT,3.6403713
FAIRHAVEN,3.9992967
FALL RIVER,4.1906743
FALMOUTH,3.299552
FITCHBURG,3.8190858
FLORIDA,6.3304744
FOXBOROUGH,4.2421427
FRAMINGHAM,4.0548563
FRANKLIN,4.6488514
FREETOWN,4.21838
GARDNER,4.1330175
AQUINNAH,2.8199182
GEORGETOWN,3.103636
GILL,5.5500383
GLOUCESTER,3.704432
GOSHEN,6.9209075
GOSNOLD,2.8668702
GRAFTON,4.1320767
GRANBY,4.7064176
GRANVILLE,6.4651537
GREAT BARRINGTON,6.5811214
GREENFIELD,6.2708554
GROTON,4.9724846
GROVELAND,3.1856716
HADLEY,5.5221786
HALIFAX,3.2941644
HAMILTON,3.693038
HAMPDEN,3.9645147
HANCOCK,5.245661
HANOVER,3.4228678
HANSON,2.9397814
HARDWICK,4.1048117
HARVARD,3.9714751
HARWICH,3.0345373
HATFIELD,6.105651
HAVERHILL,3.1856716
HAWLEY,6.8914413
HEATH,6.6453004
HINGHAM,5.0008755
HINSDALE,6.4129596
HOLBROOK,3.318602
HOLDEN,3.319855
HOLLAND,4.1986794
HOLLISTON,4.271374
HOLYOKE,5.396502
HOPEDALE,4.429772
HOPKINTON,4.3229294
HUBBARDSTON,4.963949
HUDSON,4.274592
HULL,4.578772
HUNTINGTON,7.1064844
IPSWICH,3.4256752
KINGSTON,3.408449
LAKEVILLE,4.034241
LANCASTER,3.4367023
LANESBOROUGH,5.245282
LAWRENCE,3.1362443
LEE,6.109275
LEICESTER,3.1214411
LENOX,5.464512
LEOMINSTER,3.5602045
LEVERETT,5.707461
LEXINGTON,2.445156
LEYDEN,6.0775867
LINCOLN,3.468353
LITTLETON,3.9600565
LONGMEADOW,4.718372
LOWELL,4.2449975
LUDLOW,4.330324
LUNENBURG,3.67296
LYNN,3.5617533
LYNNFIELD,3.6678622
MALDEN,3.6403713
MANCHESTER,3.8931274
MANSFIELD,4.044725
MARBLEHEAD,4.4026623
MARION,3.7379172
MARLBOROUGH,4.2377877
MARSHFIELD,3.3859978
MASHPEE,3.3060753
MATTAPOISETT,3.7728298
MAYNARD,4.541782
MEDFIELD,3.8526862
MEDFORD,3.6403713
MEDWAY,4.2996655
MELROSE,3.7592647
MENDON,4.5715685
MERRIMAC,3.515486
METHUEN,3.3749712
MIDDLEBOROUGH,3.9483929
MIDDLEFIELD,6.8266115
MIDDLETON,4.2932205
MILFORD,4.4207673
MILLBURY,4.019957
MILLIS,4.1403055
MILLVILLE,4.7179127
MILTON,2.8902264
MONROE,6.228915
MONSON,4.0954304
MONTAGUE,5.7494106
MONTEREY,6.574034
MONTGOMERY,6.722377
MOUNT WASHINGTON,7.041723
NAHANT,3.7235274
NANTUCKET,3.2534997
NATICK,4.2055583
NEEDHAM,3.7806156
NEW ASHFORD,5.1047645
NEW BEDFORD,3.8795085
NEW BRAINTREE,4.024813
NEW MARLBOROUGH,6.5242743
NEW SALEM,5.202081
NEWBURY,4.2497644
NEWBURYPORT,4.4558635
NEWTON,3.9813583
NORFOLK,4.595451
NORTH ADAMS,5.8481374
NORTH ANDOVER,3.4943388
NORTH ATTLEBOROUGH,4.6486573
NORTH BROOKFIELD,3.8102405
NORTH READING,3.6594257
NORTHAMPTON,6.4519005
NORTHBOROUGH,3.9061217
NORTHBRIDGE,4.6749344
NORTHFIELD,5.4416738
NORTON,4.3996387
NORWELL,4.1244283
NORWOOD,3.1838603
OAK BLUFFS,2.6205475
OAKHAM,4.2043443
ORANGE,5.47899
ORLEANS,2.834908
OTIS,6.6007195
OXFORD,4.016123
PALMER,4.550233
PAXTON,3.3893452
PEABODY,4.1255713
PELHAM,5.514844
PEMBROKE,2.940486
PEPPERELL,4.999742
PERU,6.7278023
PETERSHAM,4.9019237
PHILLIPSTON,5.5416822
PITTSFIELD,5.601528
PLAINFIELD,6.3501983
PLAINVILLE,4.6486573
PLYMOUTH,3.7067993
PLYMPTON,3.4394915
PRINCETON,3.9663513
PROVINCETOWN,3.1090925
QUINCY,3.7176325
RANDOLPH,3.2671726
RAYNHAM,4.9953637
READING,2.771493
REHOBOTH,4.4302583
REVERE,3.230573
RICHMOND,5.395843
ROCHESTER,4.0426774
ROCKLAND,3.6617994
ROCKPORT,3.6824927
ROWE,6.261702
ROWLEY,3.932938
ROYALSTON,5.465064
RUSSELL,6.209034
RUTLAND,4.488899
SALEM,4.317373
SALISBURY,4.6861105
SANDISFIELD,6.5233264
SANDWICH,3.5001223
SAUGUS,3.7592647
SAVOY,6.743183
SCITUATE,4.1249228
SEEKONK,4.740661
SHARON,3.736783
SHEFFIELD,6.546487
SHELBURNE,6.748759
SHERBORN,3.9299176
SHIRLEY,3.8685508
SHREWSBURY,4.0143337
SHUTESBURY,5.54762
SOMERSET,4.266394
SOMERVILLE,3.6403713
SOUTH HADLEY,5.238597
SOUTHAMPTON,6.028415
SOUTHBOROUGH,4.4632707
SOUTHBRIDGE,4.1686506
SOUTHWICK,5.4726906
SPENCER,3.9212637
SPRINGFIELD,4.499943
STERLING,3.1593654
STOCKBRIDGE,5.9055185
STONEHAM,3.7779324
STOUGHTON,3.65671
STOW,4.274592
STURBRIDGE,4.3898654
SUDBURY,3.940909
SUNDERLAND,5.93161
SUTTON,4.6159244
SWAMPSCOTT,4.3400297
SWANSEA,4.266394
TAUNTON,4.5304623
TEMPLETON,4.846217
TEWKSBURY,3.1463668
TISBURY,2.7765522
TOLLAND,6.405645
TOPSFIELD,3.693038
TOWNSEND,4.078539
TRURO,3.1540656
TYNGSBOROUGH,4.5387836
TYRINGHAM,6.6007195
UPTON,4.6671185
UXBRIDGE,4.457426
WAKEFIELD,3.6678622
WALES,4.3027754
WALPOLE,3.9160707
WALTHAM,3.035668
WARE,4.465227
WAREHAM,3.7520578
WARREN,4.634688
WARWICK,5.327379
WASHINGTON,6.1279664
WATERTOWN,3.9813583
WAYLAND,3.8018901
WEBSTER,4.42012
WELLESLEY,4.036478
WELLFLEET,3.123956
WENDELL,5.607244
WENHAM,3.8741884
WEST BOYLSTON,3.6058085
WEST BRIDGEWATER,3.609289
WEST BROOKFIELD,4.248403
WEST NEWBURY,3.7311118
WEST SPRINGFIELD,5.067635
WEST STOCKBRIDGE,5.903472
WEST TISBURY,2.7587602
WESTBOROUGH,4.296626
WESTFIELD,5.6587286
WESTFORD,3.9921415
WESTHAMPTON,6.9030724
WESTMINSTER,4.1604
WESTON,3.7805645
WESTPORT,3.9206185
WESTWOOD,3.1838603
WEYMOUTH,4.09346
WHATELY,6.6657887
WHITMAN,3.3911564
WILBRAHAM,4.169423
WILLIAMSBURG,6.766968
WILLIAMSTOWN,5.3783774
WILMINGTON,2.861104
WINCHENDON,5.089513
WINCHESTER,3.5363626
WINDSOR,6.3949256
